Date,Open,High,Low,Close,Adj Close,Volume
2020-06-08,0.273462,0.279798,0.270841,0.277823,0.277823,83279
2020-06-09,0.272190,0.283733,0.254260,0.272145,0.272145,66395
2020-06-10,0.272866,0.315967,0.253391,0.276225,0.276225,82810
2020-06-11,0.276145,0.351870,0.275626,0.291165,0.291165,87567
2020-06-12,0.285552,0.331206,0.285237,0.328463,0.328463,92564
2020-06-13,0.328544,0.338803,0.300804,0.328925,0.328925,89671
2020-06-14,0.329141,0.336357,0.302157,0.326149,0.326149,100285
2020-06-15,0.326292,0.497925,0.300679,0.375721,0.375721,118513
2020-06-16,0.375677,0.391116,0.313565,0.321992,0.321992,97182
2020-06-17,0.321920,0.323185,0.289996,0.296361,0.296361,85888
2020-06-18,0.296585,0.440977,0.296249,0.413362,0.413362,122055
2020-06-19,0.413362,0.482887,0.403567,0.403567,0.403567,137507
2020-06-20,0.410193,0.482322,0.345363,0.356340,0.356340,109276
2020-06-21,0.349894,0.481700,0.349675,0.449611,0.449611,132057
2020-06-22,0.443273,0.482281,0.395878,0.454300,0.454300,112735
2020-06-23,0.455324,0.476877,0.407854,0.429402,0.429402,119147
2020-06-24,0.427806,0.542130,0.421585,0.542130,0.542130,107362
2020-06-25,0.557511,0.640814,0.449378,0.531633,0.531633,163533
2020-06-26,0.531541,0.551555,0.459971,0.497622,0.497622,138561
2020-06-27,0.498114,0.532161,0.409341,0.465284,0.465284,121672
2020-06-28,0.465284,0.511783,0.381790,0.471469,0.471469,137974
2020-06-29,0.471469,0.563584,0.460004,0.560336,0.560336,173901
2020-06-30,0.558372,0.561065,0.483714,0.486238,0.486238,146290
2020-07-01,0.484898,0.768289,0.440724,0.443873,0.443873,164810
2020-07-02,0.442356,0.537566,0.440640,0.513154,0.513154,159829
2020-07-03,0.512619,0.531431,0.459204,0.527909,0.527909,119720
2020-07-04,0.528350,0.531418,0.448697,0.459997,0.459997,141085
2020-07-05,0.463942,0.505885,0.429227,0.496277,0.496277,161336
2020-07-06,0.496231,0.499730,0.423061,0.469959,0.469959,135087
2020-07-07,0.469992,0.494906,0.447966,0.469193,0.469193,135695
2020-07-08,0.469193,0.495270,0.452405,0.491265,0.491265,174311
2020-07-09,0.489732,0.518501,0.452475,0.508659,0.508659,169250
2020-07-10,0.507942,0.511337,0.460587,0.464972,0.464972,139965
2020-07-11,0.464972,0.499978,0.446454,0.450899,0.450899,148766
2020-07-12,0.451912,0.501224,0.426036,0.427905,0.427905,131809
2020-07-13,0.427905,0.449767,0.378549,0.432190,0.432190,120930
2020-07-14,0.432333,0.446400,0.375097,0.444670,0.444670,122768
2020-07-15,0.444670,0.448711,0.371622,0.390246,0.390246,113769
2020-07-16,0.390548,0.453256,0.389270,0.438109,0.438109,118207
2020-07-17,0.438033,0.444105,0.389719,0.415029,0.415029,135199
2020-07-18,0.416671,0.425726,0.331549,0.362562,0.362562,101835
2020-07-19,0.361325,0.403677,0.358860,0.392114,0.392114,88144
2020-07-20,0.392032,0.449476,0.360048,0.389489,0.389489,122752
2020-07-21,0.389508,0.401028,0.318609,0.354160,0.354160,126026
2020-07-22,0.355783,0.410631,0.353352,0.386470,0.386470,114681
2020-07-23,0.386470,0.402649,0.348377,0.370436,0.370436,116665
2020-07-24,0.370436,0.432038,0.343309,0.380544,0.380544,139287
2020-07-25,0.381793,0.408437,0.361723,0.393125,0.393125,150606
2020-07-26,0.392925,0.441619,0.367396,0.432998,0.432998,154651
2020-07-27,0.432988,0.450726,0.378930,0.383245,0.383245,108460
2020-07-28,0.383095,0.447177,0.379218,0.412615,0.412615,118490
2020-07-29,0.410499,0.447010,0.402466,0.422042,0.422042,126635
2020-07-30,0.447301,0.474413,0.403419,0.414596,0.414596,136124
2020-07-31,0.414596,0.626344,0.401423,0.483429,0.483429,179334
2020-08-01,0.483334,0.514352,0.431643,0.446115,0.446115,135828
2020-08-02,0.446893,0.656312,0.446195,0.478578,0.478578,164170
2020-08-03,0.477532,0.615567,0.455498,0.496002,0.496002,173525
2020-08-04,0.496370,0.629711,0.477950,0.522308,0.522308,152967
2020-08-05,0.520609,0.737012,0.520189,0.554873,0.554873,214292
2020-08-06,0.554873,0.701300,0.531596,0.600461,0.600461,259459
2020-08-07,0.601237,0.680504,0.554321,0.621072,0.621072,223737
2020-08-08,0.621095,0.682628,0.591329,0.591329,0.591329,200475
2020-08-09,0.592171,0.662223,0.581679,0.610086,0.610086,209024
2020-08-10,0.610086,0.667113,0.534122,0.657214,0.657214,207777
2020-08-11,0.656930,0.683323,0.637254,0.674298,0.674298,202575
2020-08-12,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,1.772135,1.799701,1.599841,1.602023,1.602023,538557
2020-08-17,1.602023,2.102560,1.351781,1.917630,1.917630,876834
2020-08-18,1.918489,2.007501,1.619473,1.656443,1.656443,1021730
2020-08-19,1.656151,1.723032,1.530917,1.620486,1.620486,720155
2020-08-20,1.620486,1.928942,1.508313,1.509483,1.509483,717391
2020-08-21,1.510075,1.699923,1.499575,1.527808,1.527808,431790
2020-08-22,1.527295,1.632819,1.365174,1.498072,1.498072,512160
2020-08-23,1.498311,1.648407,1.408353,1.504863,1.504863,554154
2020-08-24,1.503740,1.680948,1.460742,1.523878,1.523878,615167
2020-08-25,1.524317,1.645546,1.457988,1.497458,1.497458,564432
2020-08-26,1.498459,1.918340,1.448250,1.913767,1.913767,1376884
2020-08-27,1.911774,1.912643,1.654177,1.736755,1.736755,798204
2020-08-28,1.736722,1.862517,1.660635,1.665889,1.665889,637321
2020-08-29,1.665580,1.875358,1.658417,1.668622,1.668622,555347
2020-08-30,1.669346,1.851918,1.648902,1.650021,1.650021,438239
2020-08-31,1.650365,1.870484,1.648101,1.750053,1.750053,599062
2020-09-01,1.749759,1.782715,1.659657,1.664113,1.664113,445641
2020-09-02,1.663211,1.743028,1.532561,1.676595,1.676595,529148
2020-09-03,1.675638,1.739086,1.637496,1.672012,1.672012,1656486
2020-09-04,1.672205,1.728031,1.524610,1.526090,1.526090,838007
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null
2020-09-10,null,null,null,null,null,null
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
